impa_code,name,description,category,quantity,unit,min_stock,location
0000001,KGS ABALONEDRIED,KGS ABALONEDRIED,Provisions,0,pcs,0,
0000023,HADDOCK FILLETSMOKED SSS,HERRING KIPPERED SSS],Provisions,0,pcs,0,
0000026,HADDOCK FILLETSMOKED SSS,,Provisions,0,pcs,0,
0000043,SALMON RED HALFSIDE SMOKED,,Provisions,0,pcs,0,
0000045,SALMON RED HALFSIDE SMOKED,,Provisions,0,pcs,0,
0000106,BEAN SPROUTFRESH,BEAN SPROUT LARGE (SOYA)FRESH =,Provisions,0,pcs,0,
0000107,BEANS STRINGFRESH,BEANS STRINGFRESH,Provisions,0,pcs,0,
0000108,BEETROOT TOPPED FRESH,BEETROOT TOPPED FRESH,Provisions,0,pcs,0,
0000115,CABBAGE HARO WHITE FRESH,CABBAGE HARO WHITE FRESH,Provisions,0,pcs,0,
0000117,CARROT TOPPED FRESH,CARROT TOPPED FRESH,Provisions,0,pcs,0,
0000122,CHIVES STEMFRESH,CHIVES STEMFRESH,Provisions,0,pcs,0,
0000123,CORN ON COB FRESH,CORN ON COB FRESH,Provisions,0,pcs,0,
0000125,CORIANDERFRESH,CORIANDERFRESH,Provisions,0,pcs,0,
0000129,EGGPLANTFRESH,i EGGPLANTFRESH,Provisions,0,pcs,0,
0000131,ENDIVE BELGIANFRESH,_ ENDIVE BELGIANFRESH S,Provisions,0,pcs,0,
0000132,FENNEL,FENNEL S,Provisions,0,pcs,0,
0000133,GARLICPEELEDFRESH SSS,GARLICPEELEDFRESH SSS,Provisions,0,pcs,0,
0000134,CHRYSANTHEMUMFRESH GARLAND,CHRYSANTHEMUMFRESH GARLAND [,Provisions,0,pcs,0,
0000136,GINGERROOT FRESH,GINGERROOT FRESH,Provisions,0,pcs,0,
0000137,GINGERROOT FRESH,GINGER YOUNG (HAJKAM) FRESH i],Provisions,0,pcs,0,
0000138,ootree,2044 004438,Provisions,0,pcs,0,
0000139,RADISH WHITE FRESHDAKON,RIDGE GOURD INDIAN(TURA)),Tableware,0,pcs,0,
0000143,LETTUCE,LETTUCE,Provisions,0,pcs,0,
0000151,ooor49_ SSS MUSHROOMFRESH,,Provisions,0,pcs,0,
0000154,OKRALADYFINGERFRESH,OKRALADYFINGERFRESH,Provisions,0,pcs,0,
0000155,ONION SCALLIONFRESH,ONION SCALLIONFRESH,Provisions,0,pcs,0,
0000156,ONION SPRINGFRESH,ONION SPRINGFRESH,Provisions,0,pcs,0,
0000157,ONION WHITE SWALL FRESH,ONION WHITE SWALL FRESH,Provisions,0,pcs,0,
0000158,ONONYELLOWDRY SSS,ONONYELLOWDRY SSS,Provisions,0,pcs,0,
0000160,PEPPER BELL YELLOW FRESH,PEPPER BELL YELLOW FRESH,Provisions,0,pcs,0,
0000161,SSS PAC CHOIFRESH,SSS PAC CHOIFRESH,Provisions,0,pcs,0,
0000162,SSS PARSLEY FRESH,SSS PARSLEY FRESH,Provisions,0,pcs,0,
0000166,PEPPERBELLREDFRESH,PEPPERBELLREDFRESH S,Provisions,0,pcs,0,
0000167,PEPPER CHILLIGREENFRESH,PEPPER CHILLIGREENFRESH,Provisions,0,pcs,0,
0000168,PEPPER CHILLIRED FRESH SSS,PEPPER CHILLIRED FRESH SSS,Provisions,0,pcs,0,
0000169,POTATO SELECTEDFRESH,POTATO SELECTEDFRESH S,Provisions,0,pcs,0,
0000170,PEPPER CHILLIRED FRESH SSS,,Provisions,0,pcs,0,
0000175,RADISHRED FRESH SSS,RADISHRED FRESH SSS),Tableware,0,pcs,0,
0000176,RADISH WHITE FRESHDAKON,RADISH WHITE FRESHDAKON),Tableware,0,pcs,0,
0000177,SPSS ROSEMARY FRESH,SPSS ROSEMARY FRESH,Provisions,0,pcs,0,
0000179,ooota2 SPINAGHFRESH,SPINACH WATER(KANG KONG) FRESH,Provisions,0,pcs,0,
0000183,ootree,"02045, 004439",Provisions,0,pcs,0,
0000185,oootes SQUASHYELLOW,TARRAGON (ESTRAGON) FRESH [id,Provisions,0,pcs,0,
0000186,oootes SQUASHYELLOW,FRESH] TARO (GATOIMO),Provisions,0,pcs,0,
0000187,TOMATO SELECTED FRESH,TOMATO SELECTED FRESH,Provisions,0,pcs,0,
0000188,oaaeo,002046 oaaeo 008502,Provisions,0,pcs,0,
0000190,TOWATO CHERRY RIPE FRESH,,Provisions,0,pcs,0,
0000196,ooote4 WATERCRESS FRESH,[YAM CHINESE (NAGANO) FRESH,Provisions,0,pcs,0,
0000199,ooeset,02083 004807 008543,Provisions,0,pcs,0,
0000227,Soaasz,oaaaa 08683,Provisions,0,pcs,0,
0000301,ASPARAGUS SPEARFROZEN,ASPARAGUS SPEARFROZEN,Provisions,0,pcs,0,
0000308,BEANS LIMA FORDHOOK FROZEN,BEANS LIMA FORDHOOK FROZEN =,Lifting Gear,0,pcs,0,
0000309,BEANS STRING WHOLE FROZEN,BEANS STRING WHOLE FROZEN [ S,Provisions,0,pcs,0,
0000311,BEANS YELLOW WAXFROZEN,BEANS YELLOW WAXFROZEN,Provisions,0,pcs,0,
0000313,ooeset,02071 04808 ooesea,Provisions,0,pcs,0,
0000320,CARROTDICED FROZEN SSS,CARROTDICED FROZEN SSS,Provisions,0,pcs,0,
0000321,CAULIFLOWER FROZEN,CAULIFLOWER FROZEN,Provisions,0,pcs,0,
0000329,0000329,,Provisions,0,pcs,0,
0000335,MUSHROOM SLICED FROZEN,MUSHROOM SLICED FROZEN S,Provisions,0,pcs,0,
0000337,MUSHROOM SLICED FROZEN,FROZEN] OKRA CUT,Provisions,0,pcs,0,
0000338,ONION RING BREADED FROZEN,ONION RING BREADED FROZEN S,Provisions,0,pcs,0,
0000341,PEAS GREENFROZEN,PEAS GREENFROZEN,Provisions,0,pcs,0,
0000345,RHUBARBFROZEN,Pk RHUBARBFROZEN,Provisions,0,pcs,0,
0000348,PKS SPINACHFROZEN,PKS SPINACHFROZEN,Provisions,0,pcs,0,
0000361,POTATOFRENCHERYFROZEN,POTATOFRENCHERYFROZEN,Provisions,0,pcs,0,
0000363,POTATO CROQUETTEFROZEN,POTATO CROQUETTEFROZEN S,Provisions,0,pcs,0,
0000364,POTATOHASHBROWNFROZEN,POTATOHASHBROWNFROZEN,Provisions,0,pcs,0,
0000367,odes o0ss4e,002080 004833 oes49,Provisions,0,pcs,0,
0000384,0000384,,Provisions,0,pcs,0,
0000395,0000395,,Provisions,0,pcs,0,
0000503,nase,005226 101911,Provisions,0,pcs,0,
0000507,APPLEGOLDENDELICIOUSFRESH,APPLEGOLDENDELICIOUSFRESH,Provisions,0,pcs,0,
0000511,odes o0ss4e,0208 004899 08580,Provisions,0,pcs,0,
0000515,TKS APRICOTFRESH,TKS APRICOTFRESH,Provisions,0,pcs,0,
0000517,AVOCADOFRESH,KS AVOCADOFRESH,Provisions,0,pcs,0,
0000519,BANANAHALF RIPE,BANANAHALF RIPE,Provisions,0,pcs,0,
0000523,DRAGONFRUITSFRESH,DRAGONFRUITSFRESH,Provisions,0,pcs,0,
0000526,TKS GRAPEBLACKFRESH,TKS GRAPEBLACKFRESH,Provisions,0,pcs,0,
0000527,GRAPEDELAWAREFRESH,GRAPEDELAWAREFRESH,Provisions,0,pcs,0,
0000530,TKS GRAPEGREENFRESH,TKS GRAPEGREENFRESH,Provisions,0,pcs,0,
0000532,Tks GUAVAFRESH,Tks GUAVAFRESH,Provisions,0,pcs,0,
0000533,TKS GRAPEFRUITFRESH,TKS GRAPEFRUITFRESH,Provisions,0,pcs,0,
0000535,PKS KIWIFRUITFRESH,PKS KIWIFRUITFRESH,Provisions,0,pcs,0,
0000538,LEMONFRESH,Pk LEMONFRESH,Provisions,0,pcs,0,
0000543,MANGOSTEENFRESH,MANGOSTEENFRESH,Provisions,0,pcs,0,
0000544,SWEETCANTALOUPEFRESH MELON,SWEETCANTALOUPEFRESH MELON,Provisions,0,pcs,0,
0000545,MELON SWEETHONEYDEWFRESH,_ MELON SWEETHONEYDEWFRESH,Provisions,0,pcs,0,
0000547,MELON SWEET PRINCEFRESH,MELON SWEET PRINCEFRESH,Provisions,0,pcs,0,
0000552,NECTARINEFRESH,NECTARINEFRESH,Provisions,0,pcs,0,
0000558,PAPAYAFRESH,PAPAYAFRESH SS,Provisions,0,pcs,0,
0000562,ooose1 PEARJAPANESEFRESH,,Provisions,0,pcs,0,
0000566,o0oss2 Soaast,02206 Soaasz 008587,Provisions,0,pcs,0,
0000581,APRICOTHALVESFROZEN,APRICOTHALVESFROZEN,Provisions,0,pcs,0,
0000582,o00se4 cosas Soess2,"08583,",Provisions,0,pcs,0,
0000584,BLUEBERRYFROZEN,BLUEBERRYFROZEN,Provisions,0,pcs,0,
0000585,BOYSENBERRY FROZEN,BOYSENBERRY FROZEN,Provisions,0,pcs,0,
0000704,BONITOWHOLEFROZEN,BONITOWHOLEFROZEN,Provisions,0,pcs,0,
0000709,BONITOWHOLEFROZEN,,Provisions,0,pcs,0,
0000710,EELWHOLEFROZEN,EELWHOLEFROZEN,Provisions,0,pcs,0,
0000713,FLOUNDER WHOLE FROZEN,FLOUNDER WHOLE FROZEN S,Provisions,0,pcs,0,
0000714,FLOUNDER FILLETFROZEN Sid,FLOUNDER FILLETFROZEN Sid,Provisions,0,pcs,0,
0000715,SSK HAKEFILLETFROZEN,SSK HAKEFILLETFROZEN,Provisions,0,pcs,0,
0000716,HADDOCK HEADLESS FROZEN,HADDOCK HEADLESS FROZEN,Provisions,0,pcs,0,
0000717,HADDOCK FILLET FROZEN,HADDOCK FILLET FROZEN,Provisions,0,pcs,0,
0000718,HADDOCK FILLET FROZEN,,Provisions,0,pcs,0,
0000719,HALIBUTHEADLESS FROZEN,HALIBUTHEADLESS FROZEN,Provisions,0,pcs,0,
0000722,MACKEREL KING FISHFROZEN,MACKEREL KING FISHFROZEN ‘ S,Provisions,0,pcs,0,
0000723,STRAWBERRY FROZEN,FROZEN et,Provisions,0,pcs,0,
0000725,MACKERELFROZEN,MACKERELFROZEN S,Provisions,0,pcs,0,
0000729,MACKEREL HORSE FROZEN,MACKEREL PIKE (SANMA) FROZEN S,Provisions,0,pcs,0,
0000733,MILKFISHFROZEN,FROZEN] MULLET WHOLE,Provisions,0,pcs,0,
0000734,PANGASIUS FROZEN,PANGASIUS FROZEN,Provisions,0,pcs,0,
0000736,PLAICE FILLET FROZEN,PLAICE FILLET FROZEN,Provisions,0,pcs,0,
0000739,PANGASIUS FROZEN,PERCHFILLETFROZEN SSS],Provisions,0,pcs,0,
0000740,POLLOCK FILLET FROZEN,POMFRET WHOLE FROZEN [SSS,Provisions,0,pcs,0,
0000741,POLLOCK FILLET FROZEN,POND SMELT (WAKASAG) FROZEN,Provisions,0,pcs,0,
0000742,POLLOCK FILLET FROZEN,POLLOCK FILLET FROZEN,Provisions,0,pcs,0,
0000744,RAINBOW TROUTFROZEN,,Provisions,0,pcs,0,
0000746,RAINBOW TROUTFROZEN,,Provisions,0,pcs,0,
0000747,SALMON WHOLE FROZEN,SALMON WHOLE FROZEN,Provisions,0,pcs,0,
0000750,SAROINEFROZEN,SAROINEFROZEN,Provisions,0,pcs,0,
0000751,SEABASS WHOLE FROZEN,SEABASS WHOLE FROZEN,Provisions,0,pcs,0,
0000753,SNAPPER RED SMALL,SNAPPER RED SMALL,Provisions,0,pcs,0,
0000755,SNAPPER RED MEDIUMFROZEN,SNAPPER RED MEDIUMFROZEN [id,Provisions,0,pcs,0,
0000758,SOLEFISHFROZEN,SOLEFISHFROZEN SS,Provisions,0,pcs,0,
0000763,SOLEFISHFROZEN,swoRD FisHFROZEN,Provisions,0,pcs,0,
